table_id,title,claim,reviewer_role,source_path,supplement_path,status,rows,bytes,sha256,note
Table_S1,ChEMBL release-index summary,C1/C2,R4/R9,results/tables/chembl_release_counts.csv,tables/Table_S1_chembl_release_counts.csv,available,5,569,f294cc298306033286301695a5c9fccd3a57e9a2535945244b98d162369e684d,"Release dates are public observability dates, not model-training dates."
Table_S2,Benchmark exposure summary across audited tasks,C1/C2,R1/R2,results/tables/benchmark_coverage_exposure_summary.csv,tables/Table_S2_benchmark_coverage_exposure_summary.csv,available,4,2019,13653329b27d395f8458539ab3894b65422acdfc25d06ce8d58df1afa4a58bbf,"Exact, scaffold, and NN exposure are reported separately."
Table_S3,Core BBBP/ClinTox exposure-adjusted baseline metrics,C3,R6/R8,results/tables/slice_metrics.csv,tables/Table_S3_slice_metrics.csv,available,16,6373,d11c27003f822a3a8d252644b69f470de2f73eec7231fa75b4de2e81237ac1d6,Milestone baseline metrics for standard and exact-removed slices.
Table_S4,BACE/Tox21 C3 expansion metrics,C3,R6/R8,results/tables/bace_tox21_c3_summary.csv,tables/Table_S4_bace_tox21_c3_summary.csv,available,30,9292,7983f7fab3a988339a137edea124e61d46fb3a4d9a2d0f5f0aa440a4bbf4ff76,Additional real benchmark tasks beyond BBBP/ClinTox.
Table_S5,BACE/Tox21 sequence-family metrics,C3/C5,R6/R8,results/tables/bace_tox21_sequence_summary.csv,tables/Table_S5_bace_tox21_sequence_summary.csv,available,60,12874,fc1d5a40fe9509bf3dd301af94ed88ab19c86a504c9b620d11722c88c7503f38,"SMILES-CNN, SMILES-GRU, and SMILES-Transformer sequence baselines."
Table_S6,Exposure-adjusted CI summary,C3,R2/R6,results/tables/exposure_delta_ci.csv,tables/Table_S6_exposure_delta_ci.csv,available,80,23562,1de3d58ae19550491769248ff4e48476086542655137c20e84c0b164eba5e8ea,Bootstrap/seed-level CI for standard-vs-exposure-aware score deltas.
Table_S7,Sequence-family CI summary,C3,R2/R6,results/tables/sequence_delta_ci.csv,tables/Table_S7_sequence_delta_ci.csv,available,24,7496,92c0db0896374c29f88ea4d6375cb78f603625babe3f18e4079e42dec33c4005,CI table behind Fig. 5 and supplement sequence-delta claims.
Table_S8,ESOL/Lipophilicity regression CI summary,C3,R8,results/tables/regression_delta_ci.csv,tables/Table_S8_regression_delta_ci.csv,available,24,6629,c0de2c6d500c786af85e9590f59babe01fccf5db5876d6688400198f2a2ae021,Regression robustness; Lipophilicity limitations remain explicit.
Table_S9,Endpoint-native ChEMBL temporal metrics,C3/C4,R4/R8/R10,results/tables/chembl_endpoint_temporal_summary.csv,tables/Table_S9_chembl_endpoint_temporal_summary.csv,available,108,43743,b3611bfe570902080499b6948ff06afa6ac77dea6b21ccdbc981e6b2515d4f4b,hERG/CYP temporal-validity sequence metrics with expected limitations.
Table_S10,Endpoint SMILES-Transformer add-on metrics,C3,R6/R8,results/tables/chembl_endpoint_transformer_summary.csv,tables/Table_S10_chembl_endpoint_transformer_summary.csv,available,42,21659,ced1a2935cad11e4bbb9872e8610b321286128578c1adf433f6600beab13fee0,Transformer sequence add-on for endpoint-native tasks.
Table_S11,Train-label-shuffle null-control comparisons,C3,R2/R6,results/tables/label_shuffle_null_control_comparison.csv,tables/Table_S11_label_shuffle_null_control_comparison.csv,available,22,5308,c668fce1d7a564dd76eb308d1c78afa282a15b121fe3a9f59ac0e06d041b5125,Negative control for exposure-adjusted deltas; not causal evidence.
Table_S12,CYP label-shuffle rescue null summary,C3,R2/R6/R8,results/tables/cyp_extension_label_shuffle_null_summary.csv,tables/Table_S12_cyp_extension_label_shuffle_null_summary.csv,available,3,961,378c3173e7d4ad06ee395c5c0448c28d101988073b58f0711ad5e2204b19140c,CYP2C19 observed-vs-shuffled temporal-delta rescue snapshot.
Table_S13,Frozen MolFormer embedding summary,C3,R5/R7,generated by scripts/make_bib_supplement_package.py,tables/Table_S13_fm_embedding_summary.csv,available,57,17513,80ce23b5dc5a1740aac660229568ece2edbcbc5397559d6e87f54db29850b6e8,Sanitized supplement-only MolFormer wrapper summary; local run paths removed.
Table_S14,Frozen ChemBERTa-100M embedding summary,C3,R5/R7,generated by scripts/make_bib_supplement_package.py,tables/Table_S14_chemberta_100m_fm_summary.csv,available,30,9150,484bac6e644227789dc55067dac3701a94335b12452ec2f432b13688885296de,Sanitized supplement-only ChemBERTa-100M wrapper summary; local run paths removed.
