source_name,task_name,model_id,comparison_split,observed_mean_delta,observed_source,shuffle_mean_delta,shuffle_metric_rows,absolute_observed_delta,absolute_shuffle_delta,null_delta_gap,paper_use,label
moleculenet,Tox21,smiles_gru,exact_removed,0.0056125685540069,results\tables\sequence_delta_ci.csv,0.078614412399649,50,0.0056125685540069,0.078614412399649,-0.0730018438456421,null_delta_not_smaller,Tox21 | GRU | Exact
moleculenet,Tox21,smiles_gru,density_matched_clean,0.0056125685540069,results\tables\sequence_delta_ci.csv,-0.0420041443013818,50,0.0056125685540069,0.0420041443013818,-0.0363915757473749,null_delta_not_smaller,Tox21 | GRU | Dens.
chembl_bioactivity,CYP3A4_pchembl5_temporal,smiles_transformer,exact_removed,-0.0074193232284994,results\tables\chembl_endpoint_transformer_task_summary.csv,0.1319399391853476,60,0.0074193232284994,0.1319399391853476,-0.1245206159568482,null_delta_not_smaller,CYP3A4 | Trf. | Exact
chembl_bioactivity,CYP2D6_pchembl5_temporal,smiles_transformer,nn08_removed,0.032442417184265,results\tables\chembl_endpoint_transformer_task_summary.csv,0.017860054347826,60,0.032442417184265,0.017860054347826,0.014582362836439,supports_non-null_delta,CYP2D6 | Trf. | NN0.8
chembl_bioactivity,hERG_pchembl5_temporal,smiles_transformer,scaffold_removed,-0.0452404551783544,results\tables\chembl_endpoint_transformer_task_summary.csv,-0.024280957522158,60,0.0452404551783544,0.024280957522158,0.0209594976561964,supports_non-null_delta,hERG | Trf. | Scaf.
chembl_bioactivity,CYP2D6_pchembl5_temporal,smiles_transformer,scaffold_removed,0.0481447981366459,results\tables\chembl_endpoint_transformer_task_summary.csv,-0.083782802795031,60,0.0481447981366459,0.083782802795031,-0.0356380046583851,null_delta_not_smaller,CYP2D6 | Trf. | Scaf.
chembl_bioactivity,CYP2D6_pchembl5_temporal,smiles_transformer,density_matched_clean,0.0621646394064872,results\tables\chembl_endpoint_transformer_task_summary.csv,-0.0254732789855072,60,0.0621646394064872,0.0254732789855072,0.03669136042098,supports_non-null_delta,CYP2D6 | Trf. | Dens.
chembl_bioactivity,CYP2D6_pchembl5_temporal,smiles_transformer,exact_removed,0.0621646394064872,results\tables\chembl_endpoint_transformer_task_summary.csv,-0.0235288345410627,60,0.0621646394064872,0.0235288345410627,0.0386358048654245,supports_non-null_delta,CYP2D6 | Trf. | Exact
chembl_bioactivity,hERG_pchembl5_temporal,smiles_transformer,exact_removed,-0.0699490093452936,results\tables\chembl_endpoint_transformer_task_summary.csv,-0.005447847174805,60,0.0699490093452936,0.005447847174805,0.0645011621704886,supports_non-null_delta,hERG | Trf. | Exact
chembl_bioactivity,CYP3A4_pchembl5_temporal,smiles_transformer,scaffold_removed,-0.0717449811232362,results\tables\chembl_endpoint_transformer_task_summary.csv,0.0018631847993827,60,0.0717449811232362,0.0018631847993827,0.0698817963238535,supports_non-null_delta,CYP3A4 | Trf. | Scaf.
moleculenet,Tox21,smiles_transformer,nn08_removed,0.1244002297341647,results\tables\sequence_delta_ci.csv,0.0174225688100357,50,0.1244002297341647,0.0174225688100357,0.106977660924129,supports_non-null_delta,Tox21 | Trf. | NN0.8
moleculenet,Tox21,smiles_gru,nn08_removed,-0.1284080500026941,results\tables\sequence_delta_ci.csv,0.0217384361422294,50,0.1284080500026941,0.0217384361422294,0.1066696138604647,supports_non-null_delta,Tox21 | GRU | NN0.8
chembl_bioactivity,CYP2C9_pchembl5_temporal,smiles_transformer,scaffold_removed,-0.1413158506789726,results\tables\chembl_endpoint_transformer_task_summary.csv,0.0427246182577677,30,0.1413158506789726,0.0427246182577677,0.0985912324212048,supports_non-null_delta,CYP2C9 | Trf. | Scaf.
moleculenet,Tox21,smiles_cnn,scaffold_removed,0.2079113337922446,results\tables\sequence_delta_ci.csv,-0.0800969937470699,50,0.2079113337922446,0.0800969937470699,0.1278143400451747,supports_non-null_delta,Tox21 | CNN | Scaf.
moleculenet,Tox21,smiles_transformer,density_matched_clean,0.2341565558822434,results\tables\sequence_delta_ci.csv,0.0200904850861994,50,0.2341565558822434,0.0200904850861994,0.214066070796044,supports_non-null_delta,Tox21 | Trf. | Dens.
moleculenet,Tox21,smiles_transformer,exact_removed,0.2341565558822434,results\tables\sequence_delta_ci.csv,0.0572038871480551,50,0.2341565558822434,0.0572038871480551,0.1769526687341883,supports_non-null_delta,Tox21 | Trf. | Exact
moleculenet,Tox21,smiles_transformer,scaffold_removed,0.2370807110175872,results\tables\sequence_delta_ci.csv,-0.0707057734359535,50,0.2370807110175872,0.0707057734359535,0.1663749375816337,supports_non-null_delta,Tox21 | Trf. | Scaf.
