fm_model_id,source_name,task_name,split_name,head_model,seeds,test_n,auroc_mean,auprc_mean,balanced_accuracy_mean,valid_metric_value_count,metric_status,wrapper_scope_note,source_table
chemberta_100m_mlm,chembl_bioactivity,CYP1A2_pchembl5_temporal,density_matched_clean,logistic_regression,5,31.0,,,1.0,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
chemberta_100m_mlm,chembl_bioactivity,CYP1A2_pchembl5_temporal,exact_removed,logistic_regression,5,31.0,,,1.0,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
chemberta_100m_mlm,chembl_bioactivity,CYP1A2_pchembl5_temporal,nn08_removed,logistic_regression,5,25.0,,,1.0,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
chemberta_100m_mlm,chembl_bioactivity,CYP1A2_pchembl5_temporal,scaffold_removed,logistic_regression,5,28.0,,,1.0,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
chemberta_100m_mlm,chembl_bioactivity,CYP1A2_pchembl5_temporal,standard,logistic_regression,5,1200.0,0.7649743527606124,0.994251755160842,0.5774263904034896,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
chemberta_100m_mlm,chembl_bioactivity,CYP2C19_pchembl5_temporal,density_matched_clean,logistic_regression,5,19.0,,,0.9473684210526316,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
chemberta_100m_mlm,chembl_bioactivity,CYP2C19_pchembl5_temporal,exact_removed,logistic_regression,5,19.0,,,0.9473684210526316,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
chemberta_100m_mlm,chembl_bioactivity,CYP2C19_pchembl5_temporal,nn08_removed,logistic_regression,5,16.0,,,0.9375,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
chemberta_100m_mlm,chembl_bioactivity,CYP2C19_pchembl5_temporal,scaffold_removed,logistic_regression,5,25.0,,,0.72,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
chemberta_100m_mlm,chembl_bioactivity,CYP2C19_pchembl5_temporal,standard,logistic_regression,5,1200.0,0.8182386408378614,0.9541931991615578,0.7544885424049138,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
chemberta_100m_mlm,moleculenet,Tox21,density_matched_clean,logistic_regression,5,100.0,0.6151202749140894,0.0648076923076923,0.4690721649484536,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
