dataset_id,dataset_kind,release_id,raw_rows,standardized_rows,rejected_rows,unique_inchikeys,raw_chemreps_input_rows,standardized_compound_records,unique_standard_inchikeys_after_filtering,new_standard_inchikeys_first_seen,new_scaffolds_first_seen,cumulative_first_seen_scaffolds,scaffold_generation_success_n,scaffold_generation_failure_n,duplicate_rows_retained,duplicate_rows_removed,duplicate_policy,scaffold_available_rows,exact_annotation_rows,exposure_annotation_rows,standardization_backend,policy_notes
ChEMBL release index CHEMBL24,release_index_first_seen_release,CHEMBL24,1820035,1820035,0,1820035,1820035,1820035,1820035,1820035,525438,525438,1799463,20572,,,raw release records are counted separately from collapsed first-seen InChIKey/scaffold index rows,525438,,,chembl_chemreps_standard_inchikey;rdkit_benchmark_standardization,Real ChEMBL chemreps release-index run from uploaded verified files. Invalid ChEMBL SMILES are skipped only for NN lower-bound fingerprinting; exact and scaffold indexes are preserved. Scaffold counts are first-seen index counts; cumulative first-seen scaffolds are monotonic by construction.
ChEMBL release index CHEMBL27,release_index_first_seen_release,CHEMBL27,1941410,1941410,0,1941410,1941410,1941410,1941410,135127,38987,564425,134212,915,,,raw release records are counted separately from collapsed first-seen InChIKey/scaffold index rows,38987,,,chembl_chemreps_standard_inchikey;rdkit_benchmark_standardization,Real ChEMBL chemreps release-index run from uploaded verified files. Invalid ChEMBL SMILES are skipped only for NN lower-bound fingerprinting; exact and scaffold indexes are preserved. Scaffold counts are first-seen index counts; cumulative first-seen scaffolds are monotonic by construction.
ChEMBL release index CHEMBL30,release_index_first_seen_release,CHEMBL30,2136187,2136187,0,2136187,2136187,2136187,2136187,194983,60599,625024,193431,1552,,,raw release records are counted separately from collapsed first-seen InChIKey/scaffold index rows,60599,,,chembl_chemreps_standard_inchikey;rdkit_benchmark_standardization,Real ChEMBL chemreps release-index run from uploaded verified files. Invalid ChEMBL SMILES are skipped only for NN lower-bound fingerprinting; exact and scaffold indexes are preserved. Scaffold counts are first-seen index counts; cumulative first-seen scaffolds are monotonic by construction.
ChEMBL release index CHEMBL33,release_index_first_seen_release,CHEMBL33,2372674,2372674,0,2372674,2372674,2372674,2372674,236538,120287,745311,235912,626,,,raw release records are counted separately from collapsed first-seen InChIKey/scaffold index rows,120287,,,chembl_chemreps_standard_inchikey;rdkit_benchmark_standardization,Real ChEMBL chemreps release-index run from uploaded verified files. Invalid ChEMBL SMILES are skipped only for NN lower-bound fingerprinting; exact and scaffold indexes are preserved. Scaffold counts are first-seen index counts; cumulative first-seen scaffolds are monotonic by construction.
ChEMBL release index CHEMBL36,release_index_first_seen_release,CHEMBL36,2854815,2854815,0,2854815,2854815,2854815,2854815,482969,163644,908955,481747,1222,,,raw release records are counted separately from collapsed first-seen InChIKey/scaffold index rows,163644,,,chembl_chemreps_standard_inchikey;rdkit_benchmark_standardization,Real ChEMBL chemreps release-index run from uploaded verified files. Invalid ChEMBL SMILES are skipped only for NN lower-bound fingerprinting; exact and scaffold indexes are preserved. Scaffold counts are first-seen index counts; cumulative first-seen scaffolds are monotonic by construction.
chembl_CYP1A2_pchembl5_temporal,endpoint_native_processed_benchmark,,6000,6000,0,6000,,,,,,,,,0,0,dataset rows retained unless downstream split construction removes duplicates,6000,6000,6000,rdkit_benchmark_standardization,available; salts/mixtures/stereochemistry handled by deterministic RDKit standardization where represented
chembl_CYP2C19_pchembl5_temporal,endpoint_native_processed_benchmark,,6000,6000,0,6000,,,,,,,,,0,0,dataset rows retained unless downstream split construction removes duplicates,6000,6000,6000,rdkit_benchmark_standardization,available; salts/mixtures/stereochemistry handled by deterministic RDKit standardization where represented
chembl_DILI_hepatotoxicity_binary_temporal,endpoint_native_processed_benchmark,,513,513,0,513,,,,,,,,,0,0,dataset rows retained unless downstream split construction removes duplicates,513,513,513,rdkit_benchmark_standardization,available; salts/mixtures/stereochemistry handled by deterministic RDKit standardization where represented
chembl_hERG_pilot,endpoint_native_processed_benchmark,,5000,5000,0,4999,,,,,,,,,1,0,dataset rows retained unless downstream split construction removes duplicates,,,,rdkit_benchmark_standardization,available; salts/mixtures/stereochemistry handled by deterministic RDKit standardization where represented
moleculenet_BACE_exposure,real_benchmark_exposure_annotation,,1513,1513,0,1513,,,,,,,,,0,0,annotation table preserves benchmark row identity and adds exposure fields,1513,1513,1513,moltrustbench exposure annotation,available
moleculenet_BBBP_exposure,real_benchmark_exposure_annotation,,2039,2039,0,1971,,,,,,,,,68,0,annotation table preserves benchmark row identity and adds exposure fields,2039,2039,2039,moltrustbench exposure annotation,available
moleculenet_ClinTox_exposure,real_benchmark_exposure_annotation,,1480,1480,0,1455,,,,,,,,,25,0,annotation table preserves benchmark row identity and adds exposure fields,1480,1480,1480,moltrustbench exposure annotation,available
moleculenet_Tox21_exposure,real_benchmark_exposure_annotation,,7258,7258,0,7256,,,,,,,,,2,0,annotation table preserves benchmark row identity and adds exposure fields,7258,7258,7258,moltrustbench exposure annotation,available
