check,severity,status,detail
artifact_exists:paper/claims.md,critical,pass,paper\claims.md
artifact_exists:paper/auto_report.md,critical,pass,paper\auto_report.md
artifact_exists:results/release_index/compound_release_index.parquet,critical,pass,results\release_index\compound_release_index.parquet
artifact_exists:results/release_index/scaffold_release_index.parquet,critical,pass,results\release_index\scaffold_release_index.parquet
artifact_exists:results/tables/chembl_release_counts.csv,critical,pass,results\tables\chembl_release_counts.csv
artifact_exists:results/tables/exposure_summary.csv,critical,pass,results\tables\exposure_summary.csv
artifact_exists:results/tables/slice_metrics.csv,critical,pass,results\tables\slice_metrics.csv
artifact_exists:results/figures/release_histogram.pdf,critical,pass,results\figures\release_histogram.pdf
artifact_exists:results/figures/exposure_heatmap.pdf,critical,pass,results\figures\exposure_heatmap.pdf
artifact_exists:results/figures/performance_drop.pdf,critical,pass,results\figures\performance_drop.pdf
exposure_summary_nonempty,critical,pass,rows=2
exposure_rate_bounds:exact_exposure_rate,critical,pass,exact_exposure_rate
exposure_rate_bounds:scaffold_exposure_rate,critical,pass,scaffold_exposure_rate
exposure_rate_bounds:nn_exposure_rate_08,critical,pass,nn_exposure_rate_08
slice_metrics_nonempty,critical,pass,rows=8
slice_metrics_finite,critical,pass,numeric metrics finite
required_splits_present,critical,pass,standard and exact_removed
clean_test_nonempty:moleculenet_BBBP_exposure.parquet,critical,pass,clean_test=2
clean_test_nonempty:tdc_admet_hERG_exposure.parquet,critical,pass,clean_test=3
