metric_family,source_name,task_name,model_id,comparison_split,n_pairs,seed_count,hidden_dim_count,standard_test_n_median,comparison_test_n_median,mean_delta,median_delta,sd_delta,sem_delta,seed_t_ci95_low,seed_t_ci95_high,bootstrap_ci95_low,bootstrap_ci95_high,positive_delta_n,negative_delta_n,zero_delta_n,sign_consistency,sign_test_p,ci_available,ci_excludes_zero,uncertainty_source,uncertainty_status,direction
bace_tox21_sequence,moleculenet,BACE,smiles_cnn,density_matched_clean,40,20,2,1265.0,123.0,0.029312854604057657,0.02865139226404878,0.01936825311117509,0.0030623897064977843,0.023123765007225634,0.03550194420088968,0.023284084523979343,0.03523239846181867,38,2,0,0.95,1.4933903003111482e-09,True,True,seed_replicate,seed_replicate_ci_available,standard_higher
bace_tox21_sequence,moleculenet,BACE,smiles_cnn,exact_removed,40,20,2,1265.0,882.0,0.041487953007777814,0.04134327812670474,0.005066688661331297,0.0008011138182378195,0.039868901981119184,0.043107004034436444,0.03996459131598691,0.04306432041905628,40,0,0,1.0,1.8189894035458565e-12,True,True,seed_replicate,seed_replicate_ci_available,standard_higher
bace_tox21_sequence,moleculenet,BACE,smiles_cnn,nn08_removed,40,20,2,1265.0,755.0,0.04769082361235164,0.04735136799727563,0.006969689706494167,0.0011020047028576006,0.045463672107876434,0.04991797511682685,0.04557689221146732,0.04978911637664246,40,0,0,1.0,1.8189894035458565e-12,True,True,seed_replicate,seed_replicate_ci_available,standard_higher
bace_tox21_sequence,moleculenet,BACE,smiles_cnn,scaffold_removed,40,20,2,1265.0,719.0,0.051718030789378734,0.05069928454103789,0.0076733452858833845,0.0012132624188153686,0.049266027440952875,0.05417003413780459,0.04941129450116473,0.05412026499511061,40,0,0,1.0,1.8189894035458565e-12,True,True,seed_replicate,seed_replicate_ci_available,standard_higher
bace_tox21_sequence,moleculenet,BACE,smiles_gru,density_matched_clean,40,20,2,1265.0,123.0,0.023165409578831,0.02398825868923221,0.06815828891864541,0.010776771720136719,0.0013855539324346897,0.04494526522522731,0.002699521831128227,0.04470399768578661,25,15,0,0.625,0.1538599441628321,True,True,seed_replicate,seed_replicate_ci_available,standard_higher
bace_tox21_sequence,moleculenet,BACE,smiles_gru,exact_removed,40,20,2,1265.0,882.0,0.02145770413873121,0.020689835649202515,0.01080617454408009,0.0017086062176312343,0.018004610972898488,0.024910797304563935,0.018222966951767797,0.024828582075833133,39,1,0,0.975,7.457856554538012e-11,True,True,seed_replicate,seed_replicate_ci_available,standard_higher
bace_tox21_sequence,moleculenet,BACE,smiles_gru,nn08_removed,40,20,2,1265.0,755.0,0.029192146529879413,0.028290533940432516,0.014689627872869647,0.0023226341029281214,0.02449810300786168,0.03388619005189715,0.02467183368301012,0.033703805270534785,40,0,0,1.0,1.8189894035458565e-12,True,True,seed_replicate,seed_replicate_ci_available,standard_higher
bace_tox21_sequence,moleculenet,BACE,smiles_gru,scaffold_removed,40,20,2,1265.0,719.0,0.033094319430544125,0.03236820856426825,0.017495667796671405,0.0027663079711570658,0.027503611020835695,0.03868502784025255,0.027674645768471933,0.03853232492229459,40,0,0,1.0,1.8189894035458565e-12,True,True,seed_replicate,seed_replicate_ci_available,standard_higher
bace_tox21_sequence,moleculenet,BACE,smiles_transformer,density_matched_clean,40,20,2,1265.0,123.0,0.15386938195091882,0.15159286317144452,0.046671884795921784,0.007379472932404784,0.13895546715452875,0.16878329674730888,0.1396180519734284,0.1684466909423446,40,0,0,1.0,1.8189894035458565e-12,True,True,seed_replicate,seed_replicate_ci_available,standard_higher
bace_tox21_sequence,moleculenet,BACE,smiles_transformer,exact_removed,40,20,2,1265.0,882.0,-0.014960878583315568,-0.014045859679256645,0.013974122538523618,0.0022095027762014338,-0.019426283694018665,-0.010495473472612472,-0.01922233826763131,-0.010687393408655693,6,34,0,0.85,8.364584573428147e-06,True,True,seed_replicate,seed_replicate_ci_available,comparison_higher
